Z,A,BINDING ENERGY / A (keV)
0,1,0
1,1,0
1,2,1112.283
1,3,2827.266
2,3,2572.681
3,3,-2267
1,4,1400.351
2,4,7073.915
3,4,1153.761
1,5,1336.36
2,5,5481.132
3,5,5266.132
4,5,-154
1,6,963.633
2,6,4878.017
3,6,5332.345
4,6,4487.262
5,6,152
1,7,940
2,7,4119.07
3,7,5606.291
4,7,5371.4
5,7,3531.306
2,8,3925.975
3,8,5159.582
4,8,7062.435
5,8,4717.164
6,8,3097.8
2,9,3348.637
3,9,5037.839
4,9,6462.758
5,9,6257.16
6,9,4337.476
2,10,3033.927
3,10,4531.555
4,10,6497.711
5,10,6475.071
6,10,6032.041
7,10,3643.66
3,11,4149.104
4,11,5952.822
5,11,6927.711
6,11,6676.37
7,11,5364.045
3,12,3701
4,12,5720.826
5,12,6631.264
6,12,7680.144
7,12,6170.108
8,12,4879.09
4,13,5273.07
5,13,6496.402
6,13,7469.849
7,13,7238.863
8,13,5811.994
4,14,4993.897
5,14,6101.645
6,14,7520.319
7,14,7475.614
8,14,7052.308
9,14,5236
4,15,4543
5,15,5879.05
6,15,7100.169
7,15,7699.459
8,15,7463.692
9,15,6483.551
4,16,4271
5,16,5509.228
6,16,6922.054
7,16,7373.812
8,16,7976.206
9,16,6963.731
10,16,6082.572
5,17,5266.461
6,17,6557.616
7,17,7286.153
8,17,7750.731
9,17,7542.328
10,17,6642.825
5,18,4947
6,18,6425.747
7,18,7038.49
8,18,7767.025
9,18,7631.605
10,18,7341.282
11,18,6249.329
5,19,4741
6,19,6117.909
7,19,6948.235
8,19,7566.389
9,19,7779.015
10,19,7567.375
11,19,6938.021
12,19,5838.251
6,20,5958.733
7,20,6709.24
8,20,7568.505
9,20,7720.131
10,20,8032.24
11,20,7298.641
12,20,6723.392
6,21,5659
7,21,6608.099
8,21,7389.332
9,21,7738.29
10,21,7971.713
11,21,7765.524
12,21,7104.714
13,21,6343
6,22,5436
7,22,6366.085
8,22,7364.821
9,22,7624.294
10,22,8080.465
11,22,7915.709
12,22,7662.626
13,22,6783
14,22,6111
7,23,6164
8,23,7163.85
9,23,7620.41
10,23,7955.255
11,23,8111.493
12,23,7901.126
13,23,7334.792
14,23,6562
7,24,5862
8,24,7015.935
9,24,7462.957
10,24,7993.319
11,24,8063.496
12,24,8260.709
13,24,7649.919
14,24,7166.837
15,24,6249
7,25,5592
8,25,6723
9,25,7338.764
10,25,7842.701
11,25,8101.397
12,25,8223.504
13,25,8021.144
14,25,7480.23
15,25,6847
8,26,6457
9,26,7097.744
10,26,7753.891
11,26,8004.26
12,26,8333.872
13,26,8149.771
14,26,7924.847
15,26,7198
16,26,6591
8,27,6175
9,27,6887.318
10,27,7519.709
11,27,7956.933
12,27,8263.854
13,27,8331.545
14,27,8124.334
15,27,7663.237
