Year,Female Births,Name ends with "ie",Fraction
1880,90994,0,0.000000
1881,91955,0,0.000000
1882,107851,0,0.000000
1883,112322,0,0.000000
1884,129022,0,0.000000
1885,133056,0,0.000000
1886,144536,7,0.000048
1887,145982,0,0.000000
1888,178629,6,0.000034
1889,178367,0,0.000000
1890,190377,6,0.000032
1891,185484,9,0.000049
1892,212350,12,0.000057
1893,212907,6,0.000028
1894,222923,8,0.000036
1895,233632,11,0.000047
1896,237923,20,0.000084
1897,234199,8,0.000034
1898,258772,19,0.000073
1899,233023,20,0.000086
1900,299853,15,0.000050
1901,239349,20,0.000084
1902,264078,16,0.000061
1903,261975,15,0.000057
1904,275373,20,0.000073
1905,291636,12,0.000041
1906,295303,11,0.000037
1907,318565,18,0.000057
1908,334303,28,0.000084
1909,347210,25,0.000072
1910,396445,24,0.000061
1911,418229,25,0.000060
1912,557982,36,0.000065
1913,624399,34,0.000054
1914,761439,35,0.000046
1915,983851,57,0.000058
1916,1044283,50,0.000048
1917,1081213,41,0.000038
1918,1157612,40,0.000035
1919,1130157,61,0.000054
1920,1198252,48,0.000040
1921,1232914,41,0.000033
1922,1200839,53,0.000044
1923,1206242,46,0.000038
1924,1248807,52,0.000042
1925,1217284,54,0.000044
1926,1185139,44,0.000037
1927,1192234,32,0.000027
1928,1152925,38,0.000033
1929,1116288,31,0.000028
1930,1125576,33,0.000029
1931,1064296,30,0.000028
1932,1066944,29,0.000027
1933,1007577,25,0.000025
1934,1043926,16,0.000015
1935,1048326,22,0.000021
1936,1040105,24,0.000023
1937,1063756,23,0.000022
1938,1103195,27,0.000024
1939,1096427,30,0.000027
1940,1143276,18,0.000016
1941,1207834,22,0.000018
1942,1350530,35,0.000026
1943,1394945,15,0.000011
1944,1327041,19,0.000014
1945,1307095,26,0.000020
1946,1571153,20,0.000013
1947,1772223,35,0.000020
1948,1697393,21,0.000012
1949,1710305,25,0.000015
1950,1713049,37,0.000022
1951,1798766,31,0.000017
1952,1854437,12,0.000006
1953,1880178,33,0.000018
1954,1941609,28,0.000014
1955,1954555,27,0.000014
1956,2007425,27,0.000013
1957,2044048,21,0.000010
1958,2010703,19,0.000009
1959,2022927,28,0.000014
1960,2022110,26,0.000013
1961,2016921,10,0.000005
1962,1966415,22,0.000011
1963,1927098,17,0.000009
1964,1894361,10,0.000005
1965,1764843,10,0.000006
1966,1691710,9,0.000005
1967,1650636,18,0.000011
1968,1640047,15,0.000009
1969,1686787,16,0.000009
1970,1747892,10,0.000006
1971,1663232,11,0.000007
1972,1521062,15,0.000010
1973,1458003,10,0.000007
1974,1467274,11,0.000007
1975,1457449,11,0.000008
1976,1464961,12,0.000008
1977,1532725,13,0.000008
1978,1531402,15,0.000010
1979,1604729,34,0.000021
1980,1659463,39,0.000024
1981,1667022,41,0.000025
1982,1692238,41,0.000024
1983,1669642,36,0.000022
1984,1682612,48,0.000029
1985,1719629,47,0.000027
1986,1714234,35,0.000020
1987,1737603,44,0.000025
1988,1779328,54,0.000030
1989,1843078,70,0.000038
1990,1897386,76,0.000040
1991,1874240,94,0.000050
1992,1842955,106,0.000058
1993,1807965,154,0.000085
1994,1784661,197,0.000110
1995,1757444,247,0.000141
1996,1751838,355,0.000203
1997,1739443,300,0.000172
1998,1765537,481,0.000272
1999,1772314,468,0.000264
2000,1814213,471,0.000260
2001,1798559,479,0.000266
2002,1794666,486,0.000271
2003,1824792,487,0.000267
2004,1833443,530,0.000289
2005,1844464,489,0.000265
2006,1897293,575,0.000303
2007,1917881,637,0.000332
2008,1885178,618,0.000328
2009,1830134,607,0.000332
2010,1768463,645,0.000365
2011,1742410,619,0.000355
