NumAssemb,Space Between Assemblies,Total Assemblies,CRpermg,
,cm,,cps per ng Cf-252 per mg Li-6,
Number Assemblies,Space Between Assemblies,Total Assemblies,Count Rate per mg Li-6,Abs
6,4,12,1.15522086791093E-4,1.38626504149312E-6
4,2,12,1.2477917795771E-4,1.42248262871789E-6
3,4,6,1.93806676189714E-4,2.36444144951451E-6
2,3,6,1.9020941065375E-4,2.22545010464887E-6
6,2,13,1.19360343195906E-4,1.38457998107251E-6
3,2,9,1.59568574356678E-4,1.8350386051018E-6
2,1,10,1.46338844197857E-4,5.53160831067898E-6
1,3,3,2.70433272295483E-4,3.27224259477535E-6
1,4,3,2.34128196358259E-4,2.95001527411406E-6
4,3,9,1.50026399059197E-4,1.77031150889852E-6
5,2,13,1.17745166966037E-4,1.36584393680603E-6
6,3,12,1.21664104907906E-4,1.4356364379133E-6
5,3,10,1.46704324184527E-4,5.83883210254416E-6
5,4,10,1.36214993772498E-4,5.31238475712743E-6
5,1,15,1.06815498712844E-4,1.23905978506899E-6
3,1,12,1.29122106684868E-4,1.4719920162075E-6
2,4,5,1.968134385788E-4,2.42080529451924E-6
6,1,16,9.94861044299419E-5,1.15403881138733E-6
1,2,5,2.01103855813621E-4,2.31269434185664E-6
2,2,8,1.62585854264954E-4,1.86973732404697E-6
3,3,9,1.44055005240675E-4,1.68544356131589E-6
4,1,14,1.13196643076379E-4,1.30176139537836E-6
1,1,7,1.7667971049754E-4,1.9964807286222E-6
